date,融资余额
2022-03-11,853309031318
2022-03-14,854517735470
2022-03-15,848623434249
2022-03-16,846194275056
2022-03-17,843697373088
2022-03-18,837539032759
2022-03-21,840383540777
2022-03-22,840092127566
2022-03-23,840333260621
2022-03-24,839618088604
2022-03-25,837409442628
2022-03-28,836838011083
2022-03-29,835896947038
2022-03-30,837963805834
2022-03-31,834878658068
2022-04-01,829794726178
2022-04-06,833503942754
2022-04-07,831706002323
2022-04-08,828836634090
2022-04-11,825857374580
2022-04-12,824919866194
2022-04-13,823145306933
2022-04-14,822208340708
2022-04-15,818388672866
2022-04-18,818459315143
2022-04-19,818341922489
2022-04-20,818724649829
2022-04-21,814245491550
2022-04-22,808088418338
2022-04-25,798777756593
2022-04-26,785342465926
2022-04-27,779434455889
2022-04-28,774383614466
2022-04-29,768384978166
2022-05-05,770358757845
2022-05-06,770636270872
2022-05-09,772594360832
2022-05-10,773026055278
2022-05-11,775240016082
2022-05-12,775606280676
2022-05-13,774154774214
2022-05-16,775727439591
2022-05-17,775207185635
2022-05-18,776847783482
2022-05-19,777272455643
2022-05-20,775382706063
2022-05-23,778251389141
2022-05-24,776297399896
2022-05-25,776948782318
2022-05-26,776861193425
2022-05-27,773904370625
2022-05-30,775287251445
2022-05-31,775391474256
2022-06-01,775888801375
2022-06-02,774052689799
2022-06-06,779744766199
2022-06-07,782087338586
2022-06-08,782800121321
2022-06-09,783308464450
2022-06-10,782256232225
2022-06-13,788358540702
2022-06-14,790607292252
2022-06-15,793609922510
2022-06-16,795756728177
2022-06-17,793940350029
2022-06-20,798401593884
2022-06-21,796791144096
2022-06-22,799032181409
2022-06-23,799470136679
2022-06-24,799101774063
2022-06-27,804152526967
2022-06-28,808027652202
2022-06-29,807930379714
2022-06-30,810173314834
2022-07-01,807893323016
2022-07-04,811494011440
2022-07-05,813443887342
2022-07-06,815649145513
2022-07-07,816739788005
2022-07-08,815301810057
2022-07-11,815819236317
2022-07-12,814427103321
2022-07-13,814864156128
2022-07-14,816457913392
2022-07-15,814971261389
2022-07-18,816693870032
2022-07-19,818368021163
2022-07-20,819291476832
2022-07-21,820120344143
2022-07-22,819125924113
2022-07-25,818877487640
2022-07-26,818271843241
2022-07-27,819846008863
2022-07-28,820081385003
2022-07-29,818061069544
2022-08-01,818992456447
2022-08-02,813462510618
2022-08-03,812291833769
2022-08-04,813705139650
2022-08-05,813049843823
2022-08-08,814640869080
2022-08-09,816962196621
2022-08-10,818375102481
2022-08-11,818175734041
2022-08-12,815776022678
2022-08-15,817951632910
2022-08-16,819254198291
2022-08-17,820026080300
2022-08-18,821505494211
2022-08-19,818796898343
2022-08-22,819764989605
2022-08-23,821273324019
2022-08-24,818520354358
2022-08-25,816965812332
2022-08-26,813729709479
2022-08-29,814151763169
2022-08-30,812992456940
2022-08-31,807729362103
2022-09-01,805956223789
2022-09-02,804547309813
2022-09-05,804717543345
2022-09-06,803513344268
2022-09-07,804203104743
2022-09-08,802936935915
2022-09-09,797665884010
2022-09-13,799641281579
2022-09-14,799281463122
2022-09-15,796544742207
2022-09-16,793641670445
2022-09-19,791758426442
2022-09-20,792317272001
2022-09-21,792373742514
2022-09-22,791371965565
2022-09-23,787247836470
2022-09-26,785774425677
2022-09-27,785240104940
2022-09-28,781113221616
2022-09-29,778830915826
2022-09-30,770623751931
2022-10-10,771203514053
2022-10-11,770735102720
2022-10-12,771370482389
2022-10-13,772376809092
2022-10-14,772023311463
2022-10-17,773363951153
2022-10-18,773992838909
2022-10-19,775306396795
2022-10-20,776269929247
