date,code,value,amount,ratio,yr
2022-08-09,002923,16440.352485917952,26242856.0,0.0006264696375241304,2022
2022-08-09,605116,20171.74698104903,33124176.000000004,0.0006089735479321516,2022
2022-08-19,600900,28422.703676491186,898727158.0,3.162550883601003e-05,2022
2022-08-19,600989,27570.02256619645,506054289.00000006,5.448036537873597e-05,2022
2022-08-19,600285,33677.321162901346,116307545.0,0.0002895540539773352,2022
2022-08-19,605028,32602.513040681082,39534464.00000001,0.0008246605554252886,2022
2022-08-19,002402,17445.33005488166,801539813.0,2.176477047295673e-05,2022
2022-08-19,002109,30452.89679624056,57620897.0,0.0005285043861125688,2022
2022-08-29,688621,23602.14474693286,70494204.0,0.0003348097206251575,2022
2022-08-29,300012,22894.08040452489,191231363.0,0.00011971927640616614,2022
2022-08-29,000952,22186.01606211689,26244500.000000004,0.0008453586870436429,2022
2022-08-29,600513,18061.00485821994,36229183.0,0.000498520898421031,2022
2022-08-29,300233,17465.587115641247,130124538.0,0.00013422208742551884,2022
2022-08-29,002550,16870.169373062578,85722837.0,0.00019679900903259392,2022
2022-09-08,002623,29032.491995119,151681392.0,0.00019140444066546408,2022
2022-09-08,688556,12766.554479986991,285188162.99999994,4.476537295829839e-05,2022
2022-09-08,002353,27290.542475411858,234661942.0,0.00011629726679502149,2022
2022-09-08,600674,20959.52372100957,169680855.0,0.00012352320903268415,2022
2022-09-08,600900,20268.550411525746,614593750.0,3.2978777300494425e-05,2022
2022-09-08,688578,10775.893278854997,49575861.0,0.00021736169703346145,2022
2022-09-20,002937,43626.8788912153,215762780.00000003,0.00020219835363270393,2022
2022-09-20,002756,43626.8788912153,1057138954.0,4.1268821592601446e-05,2022
2022-10-20,688356,43571.32604931965,170757500.0,0.00025516493301506316,2022
2022-10-20,601007,43571.32604931965,85685666.0,0.0005085019243395931,2022
2022-11-01,601998,44383.854913850046,133772757.0,0.0003317854539983058,2022
2022-11-01,002756,44383.854913850046,1033614189.0,4.294044662524466e-05,2022
2022-11-11,688166,49994.330535623405,99594540.0,0.0005019786279009211,2022
2022-11-11,600513,42495.18095527989,137362965.0,0.0003093641794589967,2022
2022-11-21,002460,47717.952451300625,1643627539.0,2.9032095970071614e-05,2022
2022-11-21,600809,47717.952451300625,1169034364.0,4.081826327844425e-05,2022
2022-12-02,603757,59617.01569670128,181637311.0,0.0003282200962372829,2022
2022-12-02,603856,34239.50225063181,19690874.0,0.0017388513201918722,2022
2022-12-12,002594,77618.21430646497,2168695196.0,3.5790282769854476e-05,2022
2022-12-12,000155,77618.21430646497,480050577.0,0.00016168757632066126,2022
2022-12-22,603259,76085.65088500899,1331601402.0,5.713845807816969e-05,2022
2022-12-22,002560,76085.65088500899,59104363.0,0.0012873102258966734,2022
2023-01-03,300969,19644.764146365873,51885619.99999999,0.00037861673709143067,2023
2023-01-03,300573,22829.977502366084,413090762.0,5.5266250428437525e-05,2023
2023-01-03,300233,22123.895723942383,536934943.0000001,4.120405276723139e-05,2023
2023-01-03,300314,21417.813945518712,46601419.99999999,0.00045959573647152204,2023
2023-01-03,601168,16431.3075192287,172585263.0,9.520689793327661e-05,2023
2023-01-03,688111,21411.89029443596,1027921742.0,2.083027279175496e-05,2023
2023-01-13,002372,37460.62992065355,209513111.0,0.00017879849973042282,2023
2023-01-13,603856,16088.930983259703,35623167.0,0.00045164235350719106,2023
2023-01-13,601890,35212.992125414334,203816166.0,0.00017276839622924872,2023
2023-01-13,603017,30634.803674044855,18146644.0,0.0016881801215720578,2023
2023-01-13,300564,29624.865091384036,4684473.000000001,0.006324055041278716,2023
2023-01-13,605122,31841.53543255551,7353079.0,0.00433036765041631,2023
2023-01-30,603637,30468.4441429159,21889510.0,0.0013919198804777221,2023
2023-01-30,600769,29526.12112818653,41310392.0,0.000714738343034521,2023
2023-01-30,301038,26404.507196650524,16543712.0,0.001596044901933165,2023
2023-02-09,300993,31763.497356335363,26063226.000000004,0.0012187093553321204,2023
2023-02-20,002906,20443.635921422985,113479683.0,0.00018015238834799164,2023
2023-02-20,688059,34634.69066020367,36138520.0,0.0009583870800520793,2023
2023-02-20,601882,33563.51466040355,134787615.0,0.0002490103757708269,2023
2023-02-20,300488,18603.708688494906,18684720.0,0.0009956643015520117,2023
2023-02-20,688210,17990.399610852215,23285007.0,0.0007726173159772816,2023
2023-02-20,002488,17377.090533209524,140726255.0,0.00012348151049148238,2023
2023-03-02,603025,31903.987783557986,365489971.0,8.729100745573669e-05,2023
2023-03-02,002293,32326.115755624545,40033051.0,0.0008074856886532217,2023
2023-03-02,301061,15663.169489838703,27198788.0,0.0005758774799023656,2023
2023-03-02,002182,30326.562203730246,662465521.0,4.577832542583034e-05,2023
2023-03-02,300384,29326.78542778311,31590971.0,0.0009283280791775318,2023
2023-03-02,600582,28327.00865183595,124840816.0,0.00022690502641248316,2023
2023-03-13,603369,30354.76177052582,833402524.0,3.642268999238814e-05,2023
2023-03-13,688195,30857.436625445767,28728540.0,0.0010741038919988891,2023
2023-03-13,002541,27622.833211178535,68538990.0,0.00040302363970024267,2023
2023-03-13,688278,27994.375495249755,65117242.00000001,0.00042990726626981147,2023
2023-03-13,605499,30961.85700593634,94594563.0,0.0003273111690989718,2023
2023-03-23,002065,37940.01035425838,624022070.0000001,6.0799148264513106e-05,2023
2023-03-23,688258,36729.15895997352,108440803.0,0.0003387023882511597,2023
2023-03-23,300384,17759.153782844336,27087700.0,0.0006556168955963162,2023
2023-03-23,600018,17782.832656646908,121013654.0,0.00014694897698607553,2023
2023-04-03,688505,29511.932464954196,41575042.0,0.0007098473277538528,2023
2023-04-03,601456,28599.19228562571,650053537.0000001,4.399513372023343e-05,2023
2023-04-03,688002,32891.45326258269,253208538.00000003,0.0001298986737271185,2023
2023-04-03,300450,26773.711926968765,561901964.0000001,4.764836865202478e-05,2023
2023-04-03,603040,29362.540526835404,49926482.0,0.0005881155521199232,2023
2023-04-13,603176,42074.855679440596,39840289.0,0.0010560881142062145,2023
2023-04-13,603637,38919.241503482524,45280778.0,0.0008595091167268046,2023
2023-04-13,603616,62022.50684449121,23504797.0,0.002638716975283437,2023
2023-04-24,688212,24447.769423920945,80129579.0,0.0003051029311400843,2023
2023-04-24,300580,22702.524657311973,145721788.0,0.00015579361857206948,2023
2023-04-24,000887,20836.018954360377,227895996.0,9.142775353701422e-05,2023
2023-04-24,300154,22247.470175768074,11352609.0,0.001959679063708446,2023
2023-04-24,300753,21514.03709305044,106080202.0,0.00020280916407993302,2023
2023-04-24,300041,19893.964905891957,93519220.0,0.00021272594987310582,2023
2023-05-04,603983,80752.94918465805,81643949.0,0.0009890867623840445,2023
2023-05-15,603105,57101.71483770952,250638342.0,0.0002278251379340417,2023
2023-05-15,603088,57101.71483770952,35668837.0,0.0016008852443860034,2023
2023-05-25,300509,69939.52348312578,21977828.000000004,0.0031822764052537754,2023
2023-05-25,688301,59650.1593262808,116309188.0,0.0005128585312304029,2023
2023-06-05,003006,40516.65107130845,60415861.0,0.0006706293744834399,2023
2023-06-05,600880,40516.65107130845,273545943.0,0.00014811643933358736,2023
2023-06-15,300996,54063.49061683281,57508374.0,0.0009400977084977713,2023
2023-06-15,603613,45953.9670243079,906333069.0,5.070317810979917e-05,2023
2023-07-06,688505,70520.66719172089,9421257.0,0.007485271571693765,2023
2023-07-06,000333,29971.283556481365,995554523.0,3.0105115153478506e-05,2023
2023-07-17,605086,39648.29474469561,14683493.0,0.0027001950247598177,2023
2023-07-17,300871,58679.4762351894,19734343.0,0.002973469967314818,2023
2023-07-27,002167,47943.118572887695,103163519.0,0.00046472938338685106,2023
2023-07-27,603088,47943.118572887695,91270022.0,0.0005252887807224117,2023
2023-08-07,688366,61099.93543597596,158416277.0,0.00038569228234025445,2023
2023-08-07,603590,61099.93543597596,64068035.99999999,0.0009536726775263716,2023
2023-08-17,688789,51665.69315402559,63825271.0,0.0008094864674217457,2023
2023-08-17,600809,51665.69315402559,1013826732.0,5.096106812265983e-05,2023
2023-09-04,603613,26590.371915834075,250209278.0,0.00010627252565683866,2023
2023-09-04,603927,25792.660758359063,164317583.99999997,0.00015696835439327702,2023
2023-09-04,300668,24994.949600884043,39546260.0,0.0006320433234617899,2023
2023-09-04,300605,24197.23844340903,53898676.0,0.0004489393847709549,2023
2023-09-04,300442,23399.527285933986,321227654.00000006,7.28440624415667e-05,2023
2023-09-04,600455,11806.125132598032,41745362.0,0.00028281285793133217,2023
2023-11-15,300681,19261.085765215474,172974041.0,0.00011135246453087995,2023
2023-11-15,300863,18785.405440767216,174634195.0,0.00010757002911581672,2023
2023-11-15,002674,42605.65053059929,28733316.0,0.0014827961565800235,2023
2023-11-15,603798,17527.588046346085,32855141.000000004,0.0005334808347450429,2023
2023-11-15,603960,18785.405440767216,80051443.0,0.0002346666685417178,2023
2023-11-15,002284,18785.405440767216,452968457.0,4.1471773918172e-05,2023
2024-02-22,301257,24322.245575949302,63814620.99999999,0.0003811390743188666,2024
2024-02-22,002038,23592.578208670842,255586145.00000003,9.230773525955736e-05,2024
2024-02-22,002940,22862.910841392353,25291801.0,0.0009039653143480116,2024
2024-02-22,301187,22133.24347411389,42111735.0,0.000525583747003392,2024
2024-02-22,301333,21403.5761068354,34358949.0,0.0006229403613840284,2024
2024-02-22,688166,20673.90873955691,327540835.99999994,6.311856864026846e-05,2024
2024-03-04,000426,35528.74833729873,238662467.0,0.00014886609018961803,2024
2024-03-04,300501,33314.12302427377,23557881.000000004,0.001414139201410932,2024
2024-03-04,300727,33397.0234370608,85579463.0,0.00039024577002850326,2024
